Date,Open,High,Low,Close,Adj Close,Volume,Short_MA,Long_MA
2020-01-02,189.0,191.13999938964844,188.72000122070312,191.1199951171875,185.2087249755859,8733000,191.1199951171875,191.1199951171875
2020-01-03,188.41000366210935,190.9600067138672,187.9199981689453,189.6000061035156,183.73573303222656,4899700,190.36000061035156,190.36000061035156
2020-01-06,188.0,189.2100067138672,187.16000366210935,189.19000244140625,183.3384246826172,10109500,189.97000122070312,189.97000122070312
2020-01-07,189.58999633789065,190.1000061035156,188.6000061035156,188.69000244140625,182.8538818359375,4392300,189.6500015258789,189.6500015258789
2020-01-08,189.4900054931641,192.5,188.8000030517578,191.9199981689453,185.98399353027344,5712000,190.1040008544922,190.1040008544922
2020-01-09,193.0,193.9199981689453,192.52000427246097,193.25,187.27284240722656,6748000,190.62833404541016,190.62833404541016
2020-01-10,193.5,194.57000732421875,193.11000061035156,193.77000427246097,187.7767791748047,6586400,191.077144077846,191.077144077846
2020-01-13,194.44000244140625,195.6000061035156,194.27999877929688,195.3300018310547,189.2885284423828,11290500,191.60875129699707,191.60875129699707
2020-01-14,196.7400054931641,196.9499969482422,195.13999938964844,196.0500030517578,189.9862518310547,6236500,192.10222371419272,192.10222371419272
2020-01-15,197.0,200.1499938964844,196.32000732421875,199.8000030517578,193.62026977539065,10831100,192.87200164794922,192.87200164794922
2020-01-16,201.0,201.5,199.77999877929688,200.9499969482422,194.7346954345703,9983700,193.60636485706675,193.60636485706675
2020-01-17,201.7599945068359,204.75,199.97999572753903,204.6999969482422,198.3686981201172,12518900,194.53083419799805,194.53083419799805
2020-01-21,204.1300048828125,208.38999938964844,203.8000030517578,207.2899932861328,200.87860107421875,14861700,195.51230797400842,195.51230797400842
2020-01-22,207.5099945068359,210.1300048828125,207.2899932861328,207.8999938964844,201.4696807861328,8065000,196.3971426827567,196.3971426827567
2020-01-23,207.8999938964844,208.3999938964844,205.3000030517578,206.52000427246097,200.1324157714844,8520800,197.0720001220703,197.0720001220703
2020-01-24,207.4199981689453,207.9900054931641,204.2100067138672,205.0,198.6594085693359,7812900,197.56750011444092,197.56750011444092
2020-01-27,200.0,203.3300018310547,199.1000061035156,201.69000244140625,195.45179748535156,7198900,197.81000025132124,197.81000025132124
2020-01-28,202.38999938964844,203.83999633789065,201.77999877929688,202.8500061035156,196.57595825195312,7215700,198.09000057644315,198.09000057644315
2020-01-29,204.3000030517578,205.9199981689453,202.5099945068359,204.86000061035156,198.5237579345703,7041700,198.44631636770148,198.44631636770148
2020-01-30,204.0,208.5,203.32000732421875,208.2100067138672,201.77015686035156,8571900,198.93450088500975,198.93450088500975
2020-01-31,201.4900054931641,203.97999572753903,198.2599945068359,198.97000122070312,192.81593322753903,16699600,199.32700119018554,198.93619137718565
2020-02-03,199.94000244140625,202.2599945068359,199.8500061035156,200.80999755859375,194.5989990234375,10885900,199.88750076293945,199.02136438543147
2020-02-04,203.5,204.9199981689453,202.22999572753903,203.55999755859375,197.26397705078125,10205900,200.60600051879882,199.21869626252547
2020-02-05,205.5,205.6000061035156,199.9499969482422,202.80999755859375,196.5371856689453,8672400,201.3120002746582,199.36833381652832
2020-02-06,203.0500030517578,204.6300048828125,202.47999572753903,203.0399932861328,196.7600555419922,7001200,201.86800003051758,199.5152001953125
2020-02-07,201.97999572753903,203.8300018310547,201.08999633789065,202.7400054931641,196.4693145751953,5691100,202.34250030517578,199.6392311683068
2020-02-10,201.97000122070312,206.1300048828125,201.86000061035156,205.9900054931641,199.61880493164065,6239500,202.95350036621093,199.87444503219038
2020-02-11,207.5,207.6699981689453,203.63999938964844,203.94000244140625,197.63221740722656,10231900,203.3840003967285,200.01964351109095
2020-02-12,205.0,208.1499938964844,205.0,207.44000244140625,201.02391052246097,7355800,203.95350036621093,200.2755179569639
2020-02-13,206.6199951171875,208.47000122070312,206.0500030517578,207.3999938964844,201.2762756347656,9495300,204.33349990844727,200.51300048828125
2020-02-14,208.2899932861328,210.77999877929688,208.0099945068359,210.2899932861328,204.0809326171875,6548800,204.8004997253418,200.82838735272807
2020-02-18,210.0,211.5,209.36000061035156,211.1999969482422,204.9640655517578,7651500,205.1254997253418,201.1525001525879
2020-02-19,212.52000427246097,214.1699981689453,211.72000122070312,213.30999755859375,207.01177978515625,5927500,205.42649993896484,201.5209091648911
2020-02-20,212.1300048828125,213.69000244140625,208.27999877929688,211.4499969482422,205.2067108154297,8531900,205.60400009155273,201.81294115851907
2020-02-21,209.8999938964844,210.22000122070312,207.4199981689453,208.80999755859375,202.6446533203125,9231500,205.71849975585937,202.01285705566406
2020-02-24,197.88999938964844,203.77000427246097,194.0099945068359,198.7899932861328,192.92047119140625,13316800,205.40799942016602,201.92333306206598
2020-02-25,198.7899932861328,199.88999938964844,187.72000122070312,188.3999938964844,182.83729553222656,18539000,204.7434989929199,201.55783740894213
2020-02-26,190.0,193.5099945068359,187.02999877929688,187.2100067138672,181.68240356445312,14214700,203.9614990234375,201.18026291696648
2020-02-27,182.1199951171875,186.33999633789065,180.0,180.00999450683594,174.69500732421875,17536600,202.71899871826173,200.63743552183493
2020-02-28,173.7899932861328,182.3300018310547,172.97999572753906,181.7599945068359,176.39332580566406,22659000,201.39649810791016,200.16549949645997
2020-03-02,186.32000732421875,192.44000244140625,183.1000061035156,192.3300018310547,186.65122985839844,17434500,201.06449813842772,199.97438979730373
2020-03-03,193.1999969482422,194.0399932861328,184.5,185.72999572753903,180.24610900878903,15226400,200.310498046875,199.63523755754744
